Name,Constituency,Party,Cases,Education,Assets,Liabilities
Amiya Kumar Handique,LAKHIMPUR,CPI(M),0,Post Graduate,"6,33,000",0
Amol Alias Yabes S. Tujare,PUNE,IND,3,12th Pass,"25,000",0
Amol Jayraj Shinde,PUNE,Hum Bhartiya Party,0,Post Graduate,"3,90,000",0
Amrit Tirkey,RAIGARH,Pragatishil Samajwadi Party (Lohia),0,10th Pass,"6,00,000",0
Amrith Shenoy P,UDUPI CHIKMAGALUR,IND,1,Post Graduate,"28,49,00,000","34,25,000"
Amrutham Narsaiya,NAVSARI,Pyramid Party of India,0,10th Pass,"83,74,000","1,70,000"
Anagandula Venkanna,KARIMNAGAR,BSP,1,Graduate,"18,00,000","3,50,000"
Anamika Sarkar,DHUBRI,IND,0,Post Graduate,"62,00,000",0
Anand Asnotikar,UTTARA KANNADA,JD(S),1,Post Graduate,"72,19,16,901","2,38,00,806"
Anand Jivan Ram,CHAMARAJANAGAR,IND,0,10th Pass,"50,000",0
Anand Kumar. M,MYSORE,IND,0,10th Pass,"1,41,77,000","28,50,000"
Anand Pathak,SUPAUL,Hind Samrajya Party,1,Graduate,"68,50,000",0
Anand Prakash Singh Rajput,ETAH,Rashtriya Backward Party,0,Post Graduate,"77,23,000",0
Anand Prakash Vanjape,PUNE,IND,0,Others,"22,97,000","21,00,000"
Anand Ramesh Patil,BELGAUM,IND,0,Graduate Professional,"8,66,102","2,50,000"
Anandharaj. M,RAMANATHAPURAM,IND,0,12th Pass,"15,16,792","4,50,000"
Anandharaja. V,TIRUCHIRAPPALLI,Makkal Needhi Maiam,0,Graduate,"1,01,45,000","5,67,000"
Anandmani Dutt Joshi,GARHWAL,IND,0,8th Pass,"16,42,995",0
"Anandraj, B.",PERAMBALUR,IND,0,Others,"41,86,115",0
Anandrao Vasantrao Sarnaik (Fouji Bapu),HATKANANGLE,IND,0,8th Pass,"2,16,45,000","70,00,000"
Anandrao Vithoba Adsul,AMRAVATI,SHS,2,Graduate,"4,40,15,877","85,45,894"
Anandsagar Pogru,VIZIANAGARAM,Samaanya Praja Party,0,8th Pass,"46,97,147","17,02,000"
Anant Gangaram Geete,RAIGAD,SHS,0,10th Pass,"5,44,22,110","2,13,41,268"
Anant Prabhakar Mahajan,JALGAON,IND,0,Graduate,"10,62,696",0
Ananta Datta Puri,BULDHANA,IND,0,10th Pass,"16,99,000","40,000"
Ananta Nayak,KEONJHAR,BJP,1,12th Pass,"55,12,006","5,33,728"
Anantharaman R K,SRIPERUMBUDUR,IND,0,Graduate,"7,04,600",0
Ananthi S,ERODE,IND,0,Post Graduate,"4,66,000",0
